questionTitle,questionId,answerText,answerHtml,superCategory,category,questionTags,synonyms
My issue is not listed here.,my-issue-is-not-listed-here-13,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,Mutual Funds,MF_OTHERS,SmartSave,"0"""
My latest SIP installment is not showing up.,my-latest-sip-installment-is-not-showing-up-,,"<p>In the rare case that this happens, don't worry!</p>n<p>Please wait till the end of the day as we're awaiting confirmation from BSE on the payment.</p>n<p>If you've been waiting for longer than a day, please raise a ticket by clicking on the button below.</p>",Mutual Funds,MF_DASHBOARD,Groww Funds,"can't see on dashboard, not visible, not reflecting"""
My latest external SIP installment is not showing up.,my-latest-external-sip-installment-is-not-showing-up,,"<p>External SIP cannot be imported. When you import a SIP on Groww, make sure you cancel the old SIP and start a new SIP in the same fund on Groww.</p>n<p>If you want to only see updated of your SIP on Groww while continuing the old SIP, you will have to import the fund after every SIP installment date.&nbsp;</p>",Mutual Funds,MF_DASHBOARD,External Funds,"can't see on dashboard, not visible, not reflecting"""
My mutual funds NAV is not updated.,my-mutual-funds-nav-is-not-updated,,"<p>Mutual fund NAVs based on the value on the previous date. Example, on 3rd May, the latest NAV value will be of 2nd May.</p>n<p>NAV is updated every morning from Tuesday to Saturday.</p>n<p>It is not updated on Sunday and Monday since the previous day is a holiday. Some special mutual funds' (FoF) NAVs are updated once a week.</p>n<p>If you are sure your mutual fund's NAV is not being updated, please contact us.</p>",Mutual Funds,MF_DASHBOARD,Groww Funds,"nav not updates, dashboard not updated, nav refresh, latest nav, latest nav not"""
My order is still not completed.,my-order-is-still-not-completed-,,"<p>It usually takes 3-4 bank working days for a mutual fund order to complete.&nbsp;</p>n<p>In case of liquid funds, it takes 1-2 bank working days.&nbsp;</p>n<p>If it has already been more than 3-4 working days, you can raise a ticket.&nbsp;</p>n<p>Please go to 'MY ORDERS', select the incomplete order, and select 'Need Help'.</p>n<p>Among the questions visible, choose the appropriate question.&nbsp;</p>n<p>If none of the questions resolve your issue, you can raise a ticket.&nbsp;</p>",Mutual Funds,MF_DASHBOARD,Groww Funds,"investment, redemption, redeem, buy, sell, request, over, successful, finished, finish, over """
NFO was called off. When do I get my money back?,nfo-was-called-off-when-do-i-get-my-money-back,,"<p>In case of a cancelled NFO, the amount will be refunded back within 7 bank working days.&nbsp;</p>n<p>If it has been more than 7 working days, please contact us.&nbsp;</p>n<p>&nbsp;</p>",Mutual Funds,MF_OTHERS,NFO,"nfo cancel, nfo money back, nfo refund, when will i get, """
What is NFO?,what-is-nfo-1,,"<p>NFO stands for New Fund Offer. It is basically a new mutual fund. Every mutual fund starts its life as an NFO. There is a subscription period during which investors can invest in the NFO. Usually, a week after the closing of the NFO subscription, the NFO becomes a mutual fund open to investment for all.</p>",Mutual Funds,MF_OTHERS,NFO,"new fund offer, new fund investment, new mutual fund """
What is SmartSave?,what-is-smartsave-1,,"SmartSave is an investment in a liquid fund that gives you higher returns than most savings accounts while giving you the flexibility to withdraw anytime, 24x7. nnSmartSave invests your money in ICICI Prudential Liquid Fund (Direct).nnThere is a limit for instant redemption. When you redeem from SmartSave you can get up to Rs 50,000 or 90% of the total amount invested in SmartSave instantly (whichever is lower).",Mutual Funds,MF_OTHERS,SmartSave,"instant redeem, smart save, liquid """
Am I legally allowed to invest in foreign markets?,am-i-legally-allowed-to-invest-in-foreign-markets,,"<p><span style=font-weight: 400;"">Yes  under the RBI&rsquo;s </span><a href=""https://m.rbi.org.in/Scripts/FAQView.aspx?Id=115#Q2""><span style=""font-weight: 400;"">LRS</span></a><span style=""font-weight: 400;""> (Liberalized Remittance Scheme)  any Indian resident can invest up to a limit of $250 000 in a financial year in the foreign markets. </span></p>n<p><span style=""font-weight: 400;"">LRS also includes other remittances that you might be doing like foreign travel  education  etc. under the same transfer mode. </span></p>n<p><span style=""font-weight: 400;"">In this case  it would particularly be for foreign portfolio investments. </span></p>n<p><span style=""font-weight: 400;"">All LRS based investments are moderated by RBI guidelines.</span></p>""",US Stocks,US_STOCKS_SETUP,DEFAULT,""""
Can I change my bank account later for transactions?,can-i-change-my-bank-account-later-for-transactions,"It is not suggested to change the bank account upon a successful transaction. nnThis is because of AML (Anti Money Laundering) law that the governing agencies file and monitor. nnHowever, if you wish to change your bank account provided a genuine reason, in cases like bank account closure, etc. please contact us. n",,US Stocks,US_STOCKS_FUNDING_WITHDRAWAL,DEFAULT,""""
"Can I open a new account with a bank which supports online fund transfer, in case my bank does not provide online remittance?",can-i-open-a-new-account-with-a-bank-which-supports-online-fund-transfer-in-case-my-bank-does-not-provide-online-remittance,"Yes, absolutely. It is a one time process of opening an account with one of the banks which support online funding (and several of them allow completely digital new account opening). Once an account is open, you can make several transactions hassle free and completely online. For USD remittance, the new bank may ask you to submit a bank statement of last 1 year from your old bank account.",,US Stocks,US_STOCKS_FUNDING_WITHDRAWAL,DEFAULT,""""
Can I take indexation benefit on transfer of foreign listed securities?,can-i-take-indexation-benefit-on-transfer-of-foreign-listed-securities,"Indexation benefit is given to adjust the cost of capital assets held for long term with respect to inflation. nnSince foreign securities are considered are unlisted, they must be held for at least 24 months to qualify as Long Term Capital Asset and avail indexation.",,US Stocks,US_STOCKS_COMPLIANCE_TAX,DEFAULT,""""
Can I use my existing Indian Groww Balance to fund my US account?,can-i-use-my-existing-indian-groww-balance-to-fund-my-us-account,"No, Groww balance can only be used for Indian stock and MF investments and not for US stocks. nnThis is an international wire transaction and the account is being opened at Growwâ€™s broker partnerâ€™s end. Before you trade, the funds have to be directed under the LRS process. nnYou are funding your own brokerage account from India to invest in US stocks. You could consider this as your USD balance.",,US Stocks,US_STOCKS_FUNDING_WITHDRAWAL,DEFAULT,""""
Do I need to have a separate US bank account for investing in US stocks?,do-i-need-to-have-a-separate-us-bank-account-for-investing-in-us-stocks,No. As an Indian resident you do not require to have a separate bank account in the US for trading purposes. nnYou can use your Indian bank account to fund your brokerage account via LRS and then trade directly on the US market.,,US Stocks,US_STOCKS_SETUP,DEFAULT,""""
How are dividends paid in case of fractional shares?,how-are-dividends-paid-in-case-of-fractional-shares,"You get dividends for the amount of shares that you hold in your portfolio. nnDividends are distributed proportional to the fraction of the share that you own, rounded down to the nearest cent. nnFor example if you own 50.5 quantities of shares and the dividend declared is $50 per share, then you get $2,525.",,US Stocks,US_STOCKS_INVESTING,DEFAULT,""""
How do I withdraw money from a US brokerage account to my Indian savings account?,how-do-i-withdraw-money-from-a-us-brokerage-account-to-my-indian-savings-account,The withdrawal process is fairly straight forward. nn1. Select the withdraw iconn2. Enter amount to withdrawn3. Confirm bank detailsnnThe amount will be wired back to your bank account within 3-5 business working days.nnNote: You have to use the same bank account for all funding and withdrawal purposes. ,,US Stocks,US_STOCKS_FUNDING_WITHDRAWAL,DEFAULT,""""
How to add USD in Groww balance?,how-to-add-usd-in-groww-balance,"Transfer money from your bank to the account of US based beneficiary - Apex Clearing. Transfers to Apex are completely safe and legitimate. After you initiate the transfer, it will take 2-4 working days for the money to reflect in your USD balance. nnGroww is working with various banks to offer completely online remittance. Currently, netbanking remittance is available with ICICI, HDFC, IDFC and Kotak banks. In case your bank does not allow online remittance as of now, you can quickly drop an A2 form in your nearest branch.",,US Stocks,US_STOCKS_SETUP,DEFAULT,""""
How will dividends be taxed?,how-will-dividends-be-taxed,"If you receive a dividend, your tax liability in the US would be a flat 25% which will be deducted at source. nnYou will receive 75% of the dividend as cash payout in your brokerage account.nnYou will receive foreign tax credits for the US tax, which you can utilize against your tax liability in India (as the US and India have a Double Taxation Avoidance Agreement). nnYou can download the statements from Groww.n",,US Stocks,US_STOCKS_COMPLIANCE_TAX,DEFAULT,""""
How will the TCS provision work for international stocks?,how-will-the-tcs-provision-work-for-international-stocks,"As per Finance Act, 2020, An authorized dealer (bank) receiving amounts from resident individuals has to collect 5% TCS, where the amount or the aggregate of the amount is Rs 7.0 lakh or more. nnThe TCS covers all remittances made under the Liberalised Remittance Scheme (LRS) of the Reserve Bank of India (RBI). nnThis TCS can be adjusted against the final tax liability of the person. nnYou can get your monthly TDS reduced if it is a salaried individual or adjust against advance tax payment when the next instance falls due. nnNote: TCS provision will be applicable from October 1st 2020.n",,US Stocks,US_STOCKS_COMPLIANCE_TAX,DEFAULT,""""
Is there a limit/restriction on the maximum number of securities that can be purchased from the foreign market for an Indian resident?,is-there-a-limit-restriction-on-the-maximum-number-of-securities-that-can-be-purchased-from-the-foreign-market-for-an-indian-resident,"No, there is no limitation or restriction on the number of foreign securities that can be held by Indian investors. nnHowever, it needs to be noted that the investment amount has to be within the LRS limit of $250,000 per financial year.",,US Stocks,US_STOCKS_INVESTING,DEFAULT,""""
Is there any minimum amount to start investing in US stocks?,is-there-any-minimum-amount-to-start-investing-in-us-stocks,"There is no minimum amount criteria on Groww. nnHowever, it's suggestable to begin with LRS worth $100.",,US Stocks,US_STOCKS_INVESTING,DEFAULT,""""
My issue is not listed here.,my-issue-is-not-listed-here-22,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,US Stocks,US_STOCKS_COMPLIANCE_TAX,DEFAULT,"0"""
My issue is not listed here.,my-issue-is-not-listed-here-23,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,US Stocks,US_STOCKS_FUNDING_WITHDRAWAL,DEFAULT,"0"""
My issue is not listed here.,my-issue-is-not-listed-here-24,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,US Stocks,US_STOCKS_INVESTING,DEFAULT,"0"""
My issue is not listed here.,my-issue-is-not-listed-here-25,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,US Stocks,US_STOCKS_SETUP,DEFAULT,"0"""
What are tax implications?,what-are-tax-implications,Taxation for US stocks is very straight forward. nnDue to the Double Taxation Avoidance Agreement (DTAA) between India and the US there is no tax on capital gains deducted in the US for Indian residents. nnYou will have to pay for capital gains tax in India based upon long term (above 24 months) and short term (below 24 months) holdings of your investments. n,,US Stocks,US_STOCKS_COMPLIANCE_TAX,DEFAULT,""""
What are the charges involved in USD funding?,what-are-the-charges-involved-in-usd-funding,"Groww does not charge anything for funding your USD balance. For any foreign funding transaction, the banks generally charge a forex conversion rate and a service charge plus GST per outward remittance. It can range from Rs. 500 to Rs. 1000, depending on your bank. There are no other hidden charges for funds transfer.",,US Stocks,US_STOCKS_FUNDING_WITHDRAWAL,DEFAULT,""""
What are the charges upon withdrawal?,what-are-the-charges-upon-withdrawal,"Groww offers first withdrawal free of cost! All subsequent withdrawals will be charged at $9 per withdrawal. This is the lowest withdrawal fee offered in the market and Groww does not take any cut from this fee. nnJust to give you some perspective, if you go for withdrawal via your bank wire transfer, usually you would have to pay a flat fee of $30 charged by remitting bank towards outward clearance. Groww offers the same withdrawal for only $9",,US Stocks,US_STOCKS_FUNDING_WITHDRAWAL,DEFAULT,""""
What are the costs involved for US stocks?,what-are-the-costs-involved-for-us-stocks,Please visit our pricing page for a detailed explanation on applied costs.,,US Stocks,US_STOCKS_SETUP,DEFAULT,""""
What are the documents and other requirements for opening an international trading account?,what-are-the-documents-and-other-requirements-for-opening-an-international-trading-account,"Only 2 documents are required for account opening: address proof and PAN card. Your documents are verified by our US broker dealer partner ViewTrade Securities (VT) before account activation. Also, during account opening, you are required to select a bank account that you want to use for all future USD funding transactions. We recommend choosing HDFC, ICICI, IDFC or Kotak bank for an easy and completely online funding process.",,US Stocks,US_STOCKS_SETUP,DEFAULT,""""
What are the exchanges where my trades are executed?,what-are-the-exchanges-where-my-trades-are-executed,"All trades are executed at NYSE and NASDAQ, which are routed via Smart Order Routing (SOR) system to market centres on an agency basis by the broker partner.",,US Stocks,US_STOCKS_SETUP,DEFAULT,""""
What insurance do I get for my account?,what-insurance-do-i-get-for-my-account,"US brokerage regulation recommends that every account is to be insured as per SIPC insurance act. nnGrowwâ€™s brokerage partner, ViewTrade, is a member of SIPC which protects all securities and cash holdings in your accounts up to $500,000 of which $250,000 may be in cash. nnSIPC protects the customer's assets in a financially troubled SICP brokerage member firm. nnPlease note that this $500,000 (USD) is not applicable on general losses in the stock market. n",,US Stocks,US_STOCKS_COMPLIANCE_TAX,DEFAULT,""""
What is ViewTrade Securities?,what-is-viewtrade-securities,"ViewTrade Securities (VTS) is registered as a securities broker-dealer with the United States, Securities Exchange Commission (â€œSECâ€), (SEC# 8-51605) and is a member of the Financial Industry Regulatory Authority, Inc. (â€œFINRAâ€) (CRD# 46987); and Securities Investor Protection Corporation (â€œSIPCâ€), and other necessary governmental agencies. nnVTS provides brokerage services and in facilitating clearing and settling of securities transactions. ",,US Stocks,US_STOCKS_SETUP,DEFAULT,""""
What is a cash account?,what-is-a-cash-account,"A cash account is a type of brokerage account in which the investor must pay the full amount for securities purchased. nnAn investor using a cash account is not allowed to borrow funds from his or her broker-dealer in order to pay for transactions in the account (trading on margin).nnIn particular, regulation authorizes a broker-dealer to use a cash account to purchase a security for an investor if:nn-There are sufficient funds in the account; orn-The broker-dealer accepts in good faith the investorâ€™s agreement that the investor will promptly make full cash payment for the security before selling it and does not contemplate selling the security prior to making such payment.n",,US Stocks,US_STOCKS_INVESTING,DEFAULT,""""
What is fractional investing?,what-is-fractional-investing,"One of the unique and flexible investing mechanisms in the US market is that investors can own fractions of stocks along with full shares. nnAnything less than 1 quantity is considered as fraction purchase. This gives investors  the ability to trade any fraction or dollar value in a listed company. nnFor example, you can purchase Amazon shares worth $50 or buy 0.05 shares of Apple, as per your convenience. nnOur broker partner allows you to invest as little as 0.0001 shares of any stock.nnYou can also have a more balanced portfolio with a combination of number of fullshares and fraction based holdings.n",,US Stocks,US_STOCKS_INVESTING,DEFAULT,""""
What is the cost that my bank would charge me for doing an LRS?,what-is-the-cost-that-my-bank-would-charge-me-for-doing-an-lrs,"For any LRS transaction, the banks generally charge a forex conversion rate and a service charge plus tax for doing any outward remittances. nnGroww is working with multiple Indian banks for a pre-negotiated rate on remittances for its users. nnYou can find these banks available on Growwâ€™s platform. ",,US Stocks,US_STOCKS_FUNDING_WITHDRAWAL,DEFAULT,""""
What is the process to fund with banks that donâ€™t allow online funds transfer?,what-is-the-process-to-fund-with-banks-that-dont-allow-online-funds-transfer,"Due to digital constraints, online foreign outward remittance is not supported by all Indian banks currently. For such banks, you are required to visit their branch and submit a physical Form A2 with the beneficiary and amount details. Alternatively, you can reach out to your bank RM or account manager to get your transaction completed. We are working with some more banks to bring them online for easy funding.",,US Stocks,US_STOCKS_FUNDING_WITHDRAWAL,DEFAULT,""""
What is the process to transfer money to US beneficiary?,what-is-the-process-to-transfer-money-to-us-beneficiary,"The most basic method of foreign remittance is to visit your bank and submit an A2 form with beneficiary details and the amount that you wish to transfer to US. However, Groww has coordinated with various banks to help you avoid making frequent bank trips by offering a completely online remittance through Netbanking.",,US Stocks,US_STOCKS_FUNDING_WITHDRAWAL,DEFAULT,""""
What is the safety net on my brokerage account? What happens if Groww discontinues service??,what-is-the-safety-net-on-my-brokerage-account-what-happens-if-groww-discontinues-service,"Your assets and account are held by Apex Clearing and managed by ViewTrade securities. nnIn the unlikely event that Groww and ViewTrade move out of business, your holdings and account will be completely safe and kept with Apex. nnYou might not be able to trade further till the time a broker is allocated, but your holdings will be untouched. nnIn the event that the custodian discontinues business then the SIPC insurance of $500,000 will kick in. nnIn the US, the customer's holdings/assets are kept in separate accounts and cannot be touched for business purposes or neither will it act as a collateral for company/broker firms. n",,US Stocks,US_STOCKS_COMPLIANCE_TAX,DEFAULT,""""
Where is the account held? Who is responsible for the custody and clearing?,where-is-the-account-held-who-is-responsible-for-the-custody-and-clearing,"The brokerage account is managed by ViewTrade securities - an SEC registered and FINRA regulated broker for books and records, which works with Apex Clearing Corporation for trade the clearing and custodian aspects of user accounts.n",,US Stocks,US_STOCKS_SETUP,DEFAULT,""""
Which banks allow online remittance?,which-banks-allow-online-remittance,"Currently, online remittance is available with ICICI, HDFC, IDFC and Kotak banks. We are working to add many more banks to this list - stay tuned! nnIn case your bank does not allow online remittance as of now, you can quickly drop an A2 form in your nearest branch.",,US Stocks,US_STOCKS_FUNDING_WITHDRAWAL,DEFAULT,""""
Who decides the foreign exchange rate?,who-decides-the-foreign-exchange-rate,"Every bank decides the foreign exchange rate that it will offer on a daily basis. As you must be aware, when buying foreign currency, the exchange rate offered is usually higher than the forex rate that you see on the internet. This rate is not decided by Groww. You can get in touch with your bank/ relationship manager to offer you a better rate.",,US Stocks,US_STOCKS_SETUP,DEFAULT,""""
Who is the fund transfer beneficiary? Is it safe to transfer money to them? ,who-is-the-fund-transfer-beneficiary-is-it-safe-to-transfer-money-to-them,The beneficiary for fund transfer is: Apex Clearing. Apex is the custodian appointed for all clearing purposes by Viewtrade Securities (VT) - an SEC registered and FINRA regulated broker. Your brokerage account is managed by VT. Transfers to Apex Clearing are completely safe and legitimate.,,US Stocks,US_STOCKS_FUNDING_WITHDRAWAL,DEFAULT,""""
Who owns the shares?,who-owns-the-shares,,"<p><span style=font-weight: 400;"">In the US  shares are held in the &lsquo;</span><a href=""https://www.finra.org/investors/its-your-stock-just-not-your-name-explaining-street-names""><span style=""font-weight: 400;"">street name</span></a><span style=""font-weight: 400;"">&rsquo;&nbsp; by the custodian. </span></p>n<p><span style=""font-weight: 400;"">You own the shares and all your investments/accounts. The accounts are opened in your name with your credentials and belong solely to you. </span></p>n<p><span style=""font-weight: 400;"">As per SEC guidelines  you may verify the ownership of your account and shares by contacting ViewTrade at </span><span style=""font-weight: 400;"">support@viewtrade.com</span><span style=""font-weight: 400;""> for the same.</span></p>""",US Stocks,US_STOCKS_SETUP,DEFAULT,""""
Will the money reflect in my USD balance instantly?,will-the-money-reflect-in-my-usd-balance-instantly,"Money flowing outside India has to go through multiple compliance checks and follow RBI guidelines. So, it will take 2-4 working days for the money to reflect in your USD balance after you have initiated the transfer from your bank account.",,US Stocks,US_STOCKS_FUNDING_WITHDRAWAL,DEFAULT,""""
Can I cancel my Digital Gold purchase?,can-i-cancel-my-digital-gold-purchase,,"<p>Once an order has been placed successfully, it cannot be cancelled.</p>",Gold,GD_BUY,Buy Order,"cancel gold order, cancel order gold, gold order cancel"""
Can I request delivery of my gold?,can-i-request-delivery-of-my-gold,,<p>This is unavailable right now. But we're planning on bringing this soon.&nbsp;</p>,Gold,GD_ABOUT,Augmont,"receive gold, get real gold, get gold, gold coin, gold biscuit"""
Do I need to complete the KYC to buy Digital Gold on Groww?,do-i-need-to-complete-the-kyc-to-buy-digital-gold-on-groww,,"<p>Yes. To be eligible for purchasing Digital Gold on Groww, you need to be a resident Indian with verified KYC.</p>",Gold,GD_ABOUT,Account,"know your customer, finish KYC, kyc gold, kyc for gold"""
How can I pay for my Digital Gold purchase?,how-can-i-pay-for-my-digital-gold-purchase,You can pay easily via UPI/Net banking.,,Gold,GD_BUY,Getting Started,"invest in gold, buy gold, buy bullion, """
How can I take possession of my gold?,how-can-i-take-possession-of-my-gold,,"<p>Currently, this is not available.&nbsp;</p>n<p>We are working on making doorstep delivery for your digital gold. This feature will be launched very soon.&nbsp;</p>",Gold,GD_STORAGE,Delivery,"receive gold, get real gold, get gold, gold coin, gold biscuit"""
How do I buy Digital Gold on Groww?,how-do-i-buy-digital-gold-on-groww,"1. Enter the amount: You can input your desired purchase amount in rupees or grams of gold.nn2. Buy in one-click: Review your order to make quick payment within the 5-minute price window.nn3. Secured and insured: Your gold locker will be updated, where you can view your purchased Digital Gold holdings.",,Gold,GD_BUY,Getting Started,"invest in gold, invest bullion , buy bullion"""
How is Digital Gold provided on Groww?,how-is-digital-gold-provided-on-groww,,"<p>To provide you pure and top-quality bullion, Groww has partnered with Augmont Gold Pvt. Ltd.&mdash;an integrated precious metals management company.</p>n<p>All purchase/sell transactions of Digital Gold will be directly with Augmont Gold Pvt Ltd. Augmont also has businesses in gold refining and manufacturing of tamper-proof packaged jewellery.</p>",Gold,GD_ABOUT,Augmont,"bullion, coin, """
How is the storage of physical gold taking place?,how-is-the-storage-of-physical-gold-taking-place,The physical gold is stored by Augmont in 100% secured Sequel's vaults and insured (verified by an IDBI Trusteeship Service Pvt. Ltd.â€”an independent trustee).Â ,,Gold,GD_STORAGE,Storage,""""
How long can I store my gold bought via Groww?,how-long-can-i-store-my-gold-bought-via-groww,,<p>There is no limit on how long you can hold gold in your portfolio.</p>,Gold,GD_STORAGE,Storage,""""
How long is the live price valid for completing a transaction?,how-long-is-the-live-price-valid-for-completing-a-transaction,,"<p>Once you begin a purchase/sell transaction, the live price shown will be locked in for 5 minutes.</p>",Gold,GD_BUY,Getting Started,"price blocked, price validity, price availability"""
How often does the live price change?,how-often-does-the-live-price-change,,"<p>The live price may change throughout the day. However, once you begin a purchase/sell transaction, the live price shown will be locked in for 5 minutes.</p>",Gold,GD_BUY,Getting Started,""""
How soon can I sell the Digital Gold bought on Groww?,how-soon-can-i-sell-the-digital-gold-bought-on-groww,,<p>You will be able to sell the Gold bought on Groww after 2 working days from the date of purchase.</p>,Gold,GD_SELL,Getting Started,"when can i sell gold, sell gold, redeem gold"
Is my gold safe?,is-my-gold-safe,The physical gold is stored by Augmont in 100% secured Sequel vaults and insured (verified by an IDBI Trusteeship Service Pvt. Ltd.â€”an independent trustee).,,Gold,GD_STORAGE,Insurance,
Is the gold insured?,is-the-gold-insured,"Yes, the physical gold is secured in the Sequel vault and is insured. Augmont does not charge you for insurance.",,Gold,GD_STORAGE,Insurance,
Is there any minimum order quantity or price to buy bullion?,is-there-any-minimum-order-quantity-or-price-to-buy-bullion,,<p>You can buy Digital Gold on Groww for as low as Rs.10</p>,Gold,GD_BUY,Getting Started,
My issue is not listed here.,my-issue-is-not-listed-here-10,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,Gold,GD_STORAGE,Delivery,
My issue is not listed here.,my-issue-is-not-listed-here-6,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,Gold,GD_ABOUT,Account,
My issue is not listed here.,my-issue-is-not-listed-here-7,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,Gold,GD_BUY,Buy Order,
My issue is not listed here.,my-issue-is-not-listed-here-8,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,Gold,GD_PRICING,DEFAULT,
My issue is not listed here.,my-issue-is-not-listed-here-9,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,Gold,GD_SELL,Sell Order,
What are the charges for gold?,what-are-the-charges-for-gold,,"<p>The live price is quoted on the basis of wholesale prices in the spot market.</p>n<p>It has certain margins added to it to provide for payment gateway charges, storage, insurance, trustee and custodian charges.</p>n<p>The gold rate excludes taxes, making charges, and delivery charges. 3% GST is applicable while buying gold.&nbsp;&nbsp;</p>",Gold,GD_PRICING,DEFAULT,
What is Digital Gold?,what-is-digital-gold,,"<p>Digital Gold is a convenient and cost-effective way of purchasing gold online.</p>n<p>You can buy, sell, and accumulate gold of 99.9% purity, even in, fractions anytime using Groww.&nbsp;</p>",Gold,GD_ABOUT,Getting Started,
What is Gold Locker?,what-is-gold-locker,,"<p>Gold Locker is a digital version of your holdings, wherein you can view your Digital Gold transactions.</p>",Gold,GD_ABOUT,Getting Started,
What is the advantage of buying Digital Gold?,what-is-the-advantage-of-buying-digital-gold,,<p>&bull; Buy small: Purchase gold in fractions for as low as Rs.10<br />&bull; Sell anytime: Liquidate your Digital Gold and get your money in 2 days<br />&bull; 100% secure: Stored in secured vaults and insured (verified by an independent trustee)<br />&bull; Transparent: Live market price tracking and zero making charge/commission<br />&bull; Diversify: Balance your portfolio with Digital Gold to reduce risk concentration<br />&bull; Exchange: Convert your Digital Gold to physical gold in the form of coins/bars/jewellery (coming soon)<br /><br /></p>,Gold,GD_ABOUT,Getting Started,
What is the eligibility criteria for buying Digital Gold on Groww?,what-is-the-eligibility-criteria-for-buying-digital-gold-on-groww,,<p>Any resident Indian with verified KYC is eligible for purchasing Digital Gold on Groww.</p>,Gold,GD_ABOUT,Getting Started,
What is the live gold price?,what-is-the-live-gold-price,,"<p>The live price shown is the current market price of gold, exclusive of taxes. This price may change throughout the day.</p>n<p>The buy and sell prices you see are on the basis of wholesale prices in the spot market. It does not include taxes.&nbsp;</p>n<p>Press the button below to go to the gold page and see the live price.</p>",Gold,GD_ABOUT,Getting Started,
What is the maximum amount I can invest in Digital Gold on Groww?,what-is-the-maximum-amount-i-can-invest-in-digital-gold-on-groww,"For the first order, you can buy gold worth up to Rs 1.7 lakh (including SGST).nnFor all purchases after that, you can buy gold worth up to Rs 2 crores (including SGST) per order.Â ",,Gold,GD_BUY,Getting Started,
What will happen to my gold if Augmont/Bullion India goes into liquidation?,what-will-happen-to-my-gold-if-augmont-bullion-india-goes-into-liquidation,,"<p>Your gold assets are independent of the other assets of Bullion India. IDBI Trusteeship Services Pvt. Ltd. (appointed by Bullion India) acts as an independent trustee, who will ensure that the interests of the customers are protected.</p>n<p>The trustee has sole and exclusive charge of the customer's gold held in the vault. Thus, in the event of any adverse effect to Bullion India, it should not effect the customer's gold assets.</p>",Gold,GD_STORAGE,Insurance,
Where is the money settled when I sell Digital Gold on Groww?,where-is-the-money-settled-when-i-sell-digital-gold-on-groww,,"<p>On selling Digital Gold, the money will be settled and transferred to your chosen bank account within 2 working days.</p>",Gold,GD_SELL,Getting Started,
Will I get an invoice for a Digital Gold purchase order?,will-i-get-an-invoice-for-a-digital-gold-purchase-order,,"<p>Yes, you will receive an email confirmation with an invoice in the name of Augmont attached on every Digital Gold purchase order.</p>",Gold,GD_BUY,Buy Order,
